index,unti1_rgb,unit1_bbox,unit1_centers,unit1_beam_index,num_objects
1,./unit1/camera_data/image_BS1_3334_03_27_04.jpg,"[[175, 91, 338, 143]]","[0.2671875, 0.21666666666666667, 0.16979166666666667, 0.0962962962962963]",14,1
2,./unit1/camera_data/image_BS1_7865_03_36_45.jpg,"[[817, 90, 960, 139]]","[0.9255208333333333, 0.21203703703703702, 0.14895833333333333, 0.09074074074074075]",55,1
3,./unit1/camera_data/image_BS1_668_03_21_23.jpg,"[[739, 90, 898, 139]]","[0.8526041666666667, 0.21203703703703702, 0.165625, 0.09074074074074075]",52,1
4,./unit1/camera_data/image_BS1_6242_03_33_17.jpg,"[[657, 72, 769, 109]]","[0.7427083333333333, 0.1675925925925926, 0.11666666666666667, 0.06851851851851852]",48,1
5,./unit1/camera_data/image_BS1_1035_03_22_11.jpg,"[[370, 74, 487, 112]]","[0.44635416666666666, 0.17222222222222222, 0.121875, 0.07037037037037037]",27,1
6,./unit1/camera_data/image_BS1_2285_03_24_50.jpg,"[[406, 70, 518, 112]]","[0.48125, 0.1685185185185185, 0.11666666666666667, 0.07777777777777778]",29,1
7,./unit1/camera_data/image_BS1_4365_03_29_16.jpg,"[[728, 89, 889, 138]]","[0.8421875, 0.2101851851851852, 0.16770833333333332, 0.09074074074074075]",51,1
8,./unit1/camera_data/image_BS1_7837_03_36_41.jpg,"[[402, 90, 559, 142]]","[0.5005208333333333, 0.21481481481481482, 0.16354166666666667, 0.0962962962962963]",29,1
9,./unit1/camera_data/image_BS1_571_03_21_11.jpg,"[[0, 85, 117, 137]]","[0.0609375, 0.20555555555555555, 0.121875, 0.0962962962962963]",3,1
10,./unit1/camera_data/image_BS1_9264_03_39_47.jpg,"[[828, 74, 960, 114]]","[0.93125, 0.17407407407407408, 0.1375, 0.07407407407407407]",59,1
11,./unit1/camera_data/image_BS1_7838_03_36_41.jpg,"[[415, 90, 568, 141]]","[0.5119791666666667, 0.21388888888888888, 0.159375, 0.09444444444444444]",29,1
13,./unit1/camera_data/image_BS1_2037_03_24_19.jpg,"[[555, 90, 704, 141]]","[0.6557291666666667, 0.21388888888888888, 0.15520833333333334, 0.09444444444444444]",39,1
14,./unit1/camera_data/image_BS1_6549_03_33_56.jpg,"[[797, 91, 960, 140]]","[0.9151041666666667, 0.21388888888888888, 0.16979166666666667, 0.09074074074074075]",55,1
15,./unit1/camera_data/image_BS1_9897_03_41_09.jpg,"[[377, 72, 482, 107]]","[0.4473958333333333, 0.16574074074074074, 0.109375, 0.06481481481481481]",27,1
16,./unit1/camera_data/image_BS1_5360_03_31_23.jpg,"[[364, 91, 518, 143]]","[0.459375, 0.21666666666666667, 0.16041666666666668, 0.0962962962962963]",26,1
17,./unit1/camera_data/image_BS1_5906_03_32_33.jpg,"[[192, 91, 345, 143]]","[0.2796875, 0.21666666666666667, 0.159375, 0.0962962962962963]",14,1
18,./unit1/camera_data/image_BS1_6476_03_33_47.jpg,"[[71, 91, 244, 144]]","[0.1640625, 0.2175925925925926, 0.18020833333333333, 0.09814814814814815]",11,1
19,./unit1/camera_data/image_BS1_8109_03_37_16.jpg,"[[234, 75, 355, 114]]","[0.3067708333333333, 0.175, 0.12604166666666666, 0.07222222222222222]",17,1
20,./unit1/camera_data/image_BS1_2819_03_25_58.jpg,"[[746, 72, 864, 109]]","[0.8385416666666666, 0.1675925925925926, 0.12291666666666666, 0.06851851851851852]",52,1
21,./unit1/camera_data/image_BS1_4826_03_30_15.jpg,"[[370, 89, 513, 140]]","[0.45989583333333334, 0.21203703703703702, 0.14895833333333333, 0.09444444444444444]",26,1
23,./unit1/camera_data/image_BS1_8088_03_37_13.jpg,"[[518, 74, 624, 112]]","[0.5947916666666667, 0.17222222222222222, 0.11041666666666666, 0.07037037037037037]",38,1
24,./unit1/camera_data/image_BS1_8614_03_38_22.jpg,"[[522, 91, 675, 145]]","[0.6234375, 0.21851851851851853, 0.159375, 0.1]",37,1
25,./unit1/camera_data/image_BS1_2027_03_24_17.jpg,"[[354, 90, 510, 142]]","[0.45, 0.21481481481481482, 0.1625, 0.0962962962962963]",26,1
26,./unit1/camera_data/image_BS1_2845_03_26_02.jpg,"[[456, 72, 569, 111]]","[0.5338541666666666, 0.16944444444444445, 0.11770833333333333, 0.07222222222222222]",33,1
27,./unit1/camera_data/image_BS1_3634_03_27_43.jpg,"[[523, 76, 639, 113]]","[0.6052083333333333, 0.175, 0.12083333333333333, 0.06851851851851852]",37,1
28,./unit1/camera_data/image_BS1_4801_03_30_12.jpg,"[[102, 89, 266, 142]]","[0.19166666666666668, 0.21388888888888888, 0.17083333333333334, 0.09814814814814815]",11,1
29,./unit1/camera_data/image_BS1_6536_03_33_54.jpg,"[[669, 90, 833, 143]]","[0.7822916666666667, 0.21574074074074073, 0.17083333333333334, 0.09814814814814815]",48,1
30,./unit1/camera_data/image_BS1_362_03_20_44.jpg,"[[4, 70, 103, 114]]","[0.05572916666666667, 0.17037037037037037, 0.103125, 0.08148148148148149]",3,1
31,./unit1/camera_data/image_BS1_2848_03_26_02.jpg,"[[431, 72, 539, 112]]","[0.5052083333333334, 0.17037037037037037, 0.1125, 0.07407407407407407]",31,1
33,./unit1/camera_data/image_BS1_9542_03_40_23.jpg,"[[844, 88, 958, 142]]","[0.9385416666666667, 0.21296296296296297, 0.11875, 0.1]",58,1
34,./unit1/camera_data/image_BS1_3387_03_27_11.jpg,"[[757, 90, 926, 141]]","[0.8765625, 0.21388888888888888, 0.17604166666666668, 0.09444444444444444]",52,1
35,./unit1/camera_data/image_BS1_2525_03_25_21.jpg,"[[107, 90, 273, 143]]","[0.19791666666666666, 0.21574074074074073, 0.17291666666666666, 0.09814814814814815]",11,1
36,./unit1/camera_data/image_BS1_8605_03_38_21.jpg,"[[401, 92, 556, 143]]","[0.4984375, 0.2175925925925926, 0.16145833333333334, 0.09444444444444444]",29,1
37,./unit1/camera_data/image_BS1_290_03_20_35.jpg,"[[655, 72, 770, 110]]","[0.7421875, 0.1685185185185185, 0.11979166666666667, 0.07037037037037037]",46,1
38,./unit1/camera_data/image_BS1_305_03_20_37.jpg,"[[549, 73, 648, 111]]","[0.6234375, 0.17037037037037037, 0.103125, 0.07037037037037037]",39,1
39,./unit1/camera_data/image_BS1_3918_03_28_19.jpg,"[[688, 90, 844, 138]]","[0.7979166666666667, 0.2111111111111111, 0.1625, 0.08888888888888889]",47,1
40,./unit1/camera_data/image_BS1_671_03_21_23.jpg,"[[772, 87, 934, 139]]","[0.8885416666666667, 0.20925925925925926, 0.16875, 0.0962962962962963]",54,1
41,./unit1/camera_data/image_BS1_8623_03_38_23.jpg,"[[643, 89, 800, 141]]","[0.7515625, 0.21296296296296297, 0.16354166666666667, 0.0962962962962963]",44,1
42,./unit1/camera_data/image_BS1_3381_03_27_10.jpg,"[[703, 91, 865, 140]]","[0.8166666666666667, 0.21388888888888888, 0.16875, 0.09074074074074075]",49,1
43,./unit1/camera_data/image_BS1_8593_03_38_19.jpg,"[[237, 90, 396, 143]]","[0.3296875, 0.21574074074074073, 0.165625, 0.09814814814814815]",17,1
44,./unit1/camera_data/image_BS1_3382_03_27_11.jpg,"[[716, 90, 878, 139]]","[0.8302083333333333, 0.21203703703703702, 0.16875, 0.09074074074074075]",49,1
45,./unit1/camera_data/image_BS1_6804_03_34_29.jpg,"[[830, 73, 952, 107]]","[0.928125, 0.16666666666666666, 0.12708333333333333, 0.06296296296296296]",57,1
46,./unit1/camera_data/image_BS1_4075_03_28_39.jpg,"[[844, 70, 956, 108]]","[0.9375, 0.1648148148148148, 0.11666666666666667, 0.07037037037037037]",57,1
47,./unit1/camera_data/image_BS1_6544_03_33_55.jpg,"[[746, 90, 909, 140]]","[0.8619791666666666, 0.21296296296296297, 0.16979166666666667, 0.09259259259259259]",51,1
48,./unit1/camera_data/image_BS1_6526_03_33_53.jpg,"[[576, 91, 734, 143]]","[0.6822916666666666, 0.21666666666666667, 0.16458333333333333, 0.0962962962962963]",42,1
49,./unit1/camera_data/image_BS1_9484_03_40_15.jpg,"[[180, 81, 300, 126]]","[0.25, 0.19166666666666668, 0.125, 0.08333333333333333]",14,1
